"param_index","mean_tau_avg","mean_tau_sd","overall_sd_tau","lower_ci_avg","upper_ci_avg","heterogeneity","linearity","sample_size"
"1043",0.543815235223061,0.28434091420394,1.50203047543824,-0.604008270421083,3.2754452773587,TRUE,TRUE,250
"1044",0.534702015079189,0.282824082441471,1.50615323657385,-0.610893578056674,3.27461077307744,TRUE,TRUE,250
"1045",0.54990182685363,0.291046592374274,1.50218938046434,-0.621537054596745,3.27863845031474,TRUE,TRUE,250
"1046",0.558070579225133,0.274264340729662,1.50928263683734,-0.629937203909162,3.29918847993356,TRUE,TRUE,250
"1047",0.55045813951438,0.284758301379251,1.51611524010971,-0.653489822574454,3.29676980417549,TRUE,TRUE,250
"1048",0.541310805593071,0.272937081356819,1.51912095394655,-0.625515922861178,3.30903839016345,TRUE,TRUE,250
"1049",0.548282341203118,0.275735731001953,1.51678213151812,-0.631798639569607,3.31429390711294,TRUE,TRUE,250
"105",0.545728422194738,0.300085831551048,1.55856999025015,-0.717489082416569,3.37976112821052,TRUE,TRUE,250
"1050",0.531168032624363,0.278155874615243,1.52911020133186,-0.670805156364658,3.30542117765099,TRUE,TRUE,250
"1051",0.545822671683204,0.263148770977611,1.52302003909862,-0.639636307684931,3.31193981446424,TRUE,TRUE,250
"1052",0.545511736913376,0.261249751455842,1.52985369326396,-0.618353708085653,3.33277705364951,TRUE,TRUE,250
"1053",0.546723910689653,0.258893191520217,1.52736640419011,-0.617677411561457,3.3302673561488,TRUE,TRUE,250
"1054",0.551631399187111,0.2563196384801,1.51550829692667,-0.606628122752092,3.31195523419741,TRUE,TRUE,250
"1055",0.544963068429301,0.248442971269933,1.52956306361137,-0.649660043878389,3.32881553767195,TRUE,TRUE,250
"1056",0.538360270843871,0.261441702452337,1.53379594160785,-0.66999920020926,3.32656175472396,TRUE,TRUE,250
"1057",0.541432652681997,0.2530548538296,1.54299267192041,-0.679426779331061,3.339854208537,TRUE,TRUE,250
"1058",0.540684613258245,0.256954960903944,1.54134599885872,-0.695699971363724,3.33841075886267,TRUE,TRUE,250
"1059",0.539027388071898,0.256707309260224,1.54356176370085,-0.682302930539073,3.34621720017858,TRUE,TRUE,250
"106",0.548176466151401,0.291137503882687,1.55036380839111,-0.673596582606159,3.37659084658075,TRUE,TRUE,250
"1060",0.545275085501433,0.256558165814549,1.53594405120744,-0.650758299046351,3.34029669054788,TRUE,TRUE,250
"1061",0.547031700617918,0.250583085981867,1.53577531399069,-0.658445481582072,3.33690968791338,TRUE,TRUE,250
"1062",0.531074361709545,0.241677406645327,1.54765416190178,-0.690659331222004,3.34116774639471,TRUE,TRUE,250
"1063",0.537536094328372,0.258519295931885,1.55284773495978,-0.67876001718881,3.35767827059514,TRUE,TRUE,250
"1064",0.548451558454937,0.267082381813263,1.55403173454899,-0.671955750108033,3.37105833841003,TRUE,TRUE,250
"1065",0.541743173383164,0.279274486908834,1.55396261405962,-0.680585355374887,3.35803677992682,TRUE,TRUE,250
"1066",0.532514464298162,0.272076594940158,1.55462960011225,-0.693288961918006,3.34738931904949,TRUE,TRUE,250
"1067",0.533400661735237,0.276288888641988,1.55720589840052,-0.685156487030624,3.34841688471759,TRUE,TRUE,250
"1068",0.539482243654199,0.279020807308051,1.54636416731394,-0.661425318610336,3.34094908913943,TRUE,TRUE,250
"1069",0.540884921295116,0.287291254998551,1.54788354740382,-0.664322178958601,3.34821922068055,TRUE,TRUE,250
"107",0.554287207585718,0.280360210958848,1.54654442798414,-0.668332817475155,3.37858840157518,TRUE,TRUE,250
"1070",0.525929325000232,0.290569924596299,1.5422858161588,-0.674225367521346,3.32821636692651,TRUE,TRUE,250
"1071",0.525022546910601,0.293286163368893,1.53073320209954,-0.682727192222722,3.30421936257646,TRUE,TRUE,250
"1072",0.52656124767193,0.290590555561562,1.54021003331912,-0.682361864569035,3.32684444122604,TRUE,TRUE,250
"1073",0.534107179860042,0.301079579001814,1.54848777925144,-0.669549094210085,3.34642190569639,TRUE,TRUE,250
"1074",0.537982106152435,0.299532563070543,1.5430681726903,-0.650311094727093,3.35422132927362,TRUE,TRUE,250
"1075",0.532685903381,0.304994242086192,1.56188163835793,-0.66929998161182,3.38187263045366,TRUE,TRUE,250
"1076",0.540320967053247,0.304969930897298,1.55607891028488,-0.645394247114999,3.38163091645423,TRUE,TRUE,250
"1077",0.538133967707131,0.300451485571854,1.54583529503037,-0.648619997667326,3.35841588134466,TRUE,TRUE,250
"1078",0.53533550095248,0.293181763372622,1.55537459460288,-0.638580984216824,3.3763223758289,TRUE,TRUE,250
