"param_name","mean_beta_int_avg","mean_beta_int_sd","overall_sd_beta_int","lower_ci_avg","upper_ci_avg","heterogeneity","linearity","sample_size"
"beta_int_4",0.0481172336293484,0.0856189550582815,0.53714036111842,-0.869672139612904,1.1127418443625,TRUE,FALSE,250
"beta_int_5",0.0540410619591313,0.0858318525742659,0.528290078037115,-0.860014914415982,1.14623456391972,TRUE,FALSE,250
"beta_int_6",0.0528679446659229,0.0927039915314506,0.51655066483813,-0.806315729174495,1.12018829211372,TRUE,FALSE,250
"beta_int_7",0.0638431333328016,0.0949871327436366,0.51133362120392,-0.757108286244904,1.15770070983395,TRUE,FALSE,250
"beta_int_8",0.0633484855823143,0.102759426054333,0.539884306721254,-0.826016511231586,1.1845656064616,TRUE,FALSE,250
"beta_int_9",0.0601187368301916,0.0973481878630752,0.513637569219444,-0.765311022028337,1.13135040341983,TRUE,FALSE,250
NA,0.0720136898503455,0.0997381069965192,0.541576525050813,-0.810158267454598,1.19382769387331,TRUE,FALSE,250
"beta_int_1",0.0798659525934449,0.0762591872915891,0.490801503372144,-0.676718672376793,1.15056251431908,TRUE,FALSE,500
"beta_int_10",0.0773679697858268,0.0730970323862268,0.479235769289298,-0.613966625503456,1.11817966030189,TRUE,FALSE,500
"beta_int_11",0.0815863857735301,0.0830008902694174,0.457546471382831,-0.561997691817809,1.07938490053288,TRUE,FALSE,500
"beta_int_12",0.076263786509137,0.0918072884115592,0.486494362158594,-0.633434604315692,1.14377634585957,TRUE,FALSE,500
"beta_int_13",0.0718022061686625,0.0848356916969594,0.464157459451031,-0.616029383332271,1.06530475494821,TRUE,FALSE,500
"beta_int_14",0.0786482421658839,0.083593951362038,0.491058983708096,-0.64706161811014,1.15918824275722,TRUE,FALSE,500
"beta_int_15",0.0898010128489737,0.0676468797008227,0.464362033482146,-0.586242956824525,1.12284100647884,TRUE,FALSE,500
"beta_int_16",0.0789115945368358,0.0726798164453131,0.468753376612738,-0.639826112914995,1.05210764066022,TRUE,FALSE,500
"beta_int_17",0.0784220493347169,0.0791158585191577,0.468590087869003,-0.649213880856228,1.09431949936431,TRUE,FALSE,500
"beta_int_18",0.0808545718683151,0.0802353934607866,0.461649264740645,-0.628493772425315,1.07965503944806,TRUE,FALSE,500
"beta_int_19",0.0709181923882243,0.0694702817566902,0.482154110210887,-0.704136378667439,1.0797659792946,TRUE,FALSE,500
"beta_int_2",0.0790660255410467,0.0784152555703412,0.49461173822308,-0.696161016620118,1.13247936912676,TRUE,FALSE,500
"beta_int_20",0.0776948153969652,0.0727864185308775,0.469578362422463,-0.619354142314385,1.08133168104105,TRUE,FALSE,500
"beta_int_21",0.0710005524928197,0.0952694191985358,0.489980518836735,-0.684752061196517,1.1124480710103,TRUE,FALSE,500
"beta_int_22",0.0766678210738564,0.0868037337184992,0.485231428601019,-0.643668310080449,1.14201053829941,TRUE,FALSE,500
"beta_int_23",0.0696879549069977,0.0870658123818852,0.497364289982487,-0.667455376322891,1.12678658519929,TRUE,FALSE,500
"beta_int_24",0.0841040188849429,0.0778827805715846,0.478379530415646,-0.641291172324858,1.13200438482944,TRUE,FALSE,500
"beta_int_25",0.0960653950614448,0.0731258146028897,0.494457405275557,-0.608793166088056,1.1880214859751,TRUE,FALSE,500
"beta_int_26",0.0792407861390872,0.0925149137176398,0.485124408067251,-0.642405405380492,1.13120558875276,TRUE,FALSE,500
"beta_int_27",0.0763506613266302,0.0809942016715587,0.478012997009379,-0.655053885046139,1.11472060897143,TRUE,FALSE,500
"beta_int_28",0.083199882436064,0.0757955728631637,0.496457969864897,-0.676072708581147,1.16470169994527,TRUE,FALSE,500
"beta_int_3",0.0605833342879269,0.0953741494801977,0.518703648999019,-0.805264158222455,1.12498080629273,TRUE,FALSE,500
"beta_int_4",0.071264207044782,0.086458265866576,0.489827120290134,-0.685163964959622,1.1169511649651,TRUE,FALSE,500
"beta_int_5",0.0634220012484773,0.0857399275581853,0.517875949260406,-0.769228384676283,1.10791982008539,TRUE,FALSE,500
"beta_int_6",0.078006584465591,0.0991171410481764,0.538546755172232,-0.67648616397916,1.21667689351631,TRUE,FALSE,500
"beta_int_7",0.0652062226536672,0.0876344068790911,0.497550401652943,-0.726823275640689,1.1058228381958,TRUE,FALSE,500
"beta_int_8",0.0943310566026307,0.0864808402467684,0.492490207995081,-0.616152908475599,1.20509920382014,TRUE,FALSE,500
"beta_int_9",0.0863650275473165,0.0840626877471049,0.489561664995248,-0.619127427586898,1.15876959942114,TRUE,FALSE,500
NA,0.0762132110083523,0.0877272085053146,0.508805578877999,-0.694812552158213,1.16646028311259,TRUE,FALSE,500
"beta_int_1",0.00940626359197994,0.0383656530491245,0.186622403454073,-0.339020835510945,0.363519186539876,FALSE,TRUE,250
"beta_int_10",0.00666262180795641,0.0325306387634309,0.182134821156267,-0.340004134694298,0.345707753428749,FALSE,TRUE,250
"beta_int_11",0.00605673791860098,0.0326296720692706,0.178998451816483,-0.321150096200184,0.338693689903425,FALSE,TRUE,250
"beta_int_12",-0.000387649026995711,0.033501708122597,0.178522325867781,-0.329570662794271,0.342823896215917,FALSE,TRUE,250
"beta_int_13",0.00912447683294739,0.0443748918944001,0.198430481525216,-0.319937468670236,0.390422565240818,FALSE,TRUE,250
"beta_int_14",0.00279314091456274,0.0348701781929456,0.19127230555565,-0.349061338242585,0.352395110784985,FALSE,TRUE,250
"beta_int_15",0.00194378702444371,0.0367886646304022,0.195464114182024,-0.372018735884452,0.362911882940558,FALSE,TRUE,250
"beta_int_16",0.00831493669243844,0.0432250920452747,0.18330223508093,-0.337074076608541,0.349376371396424,FALSE,TRUE,250
"beta_int_17",0.00538353928773596,0.0404302785294296,0.179171035102249,-0.329522387940259,0.335721430733381,FALSE,TRUE,250
"beta_int_18",0.00639074029498365,0.0376520407593859,0.185631558549139,-0.343049911626855,0.324298739207094,FALSE,TRUE,250
