"param_name","mean_beta_avg","mean_beta_sd","overall_sd_beta","lower_ci_avg","upper_ci_avg","heterogeneity","linearity","sample_size"
"beta_3",-0.0511141144200683,0.19592216129731,0.436050121771677,-0.634463893011245,0.498788533722196,FALSE,FALSE,250
"beta_4",-0.0424166837710797,0.177319937096303,0.413806763469939,-0.613498724415376,0.482978295204055,FALSE,FALSE,250
"beta_5",-0.0358072784739565,0.178727053987213,0.371440378075761,-0.560826439115623,0.427033414865148,FALSE,FALSE,250
"beta_6",-0.035271008936202,0.186975077864528,0.395763613618466,-0.575324576360125,0.489582898434937,FALSE,FALSE,250
"beta_7",-0.0256497057049993,0.193227444468758,0.406434459011507,-0.590207976321999,0.492770398330122,FALSE,FALSE,250
NA,-0.0030088986014044,0.195282915237323,0.396894484025823,-0.532700505633997,0.525473415164261,FALSE,FALSE,250
"beta_1",0.0253190402901827,0.160214345164998,0.321893435730057,-0.37561044203555,0.479489334346,FALSE,FALSE,500
"beta_2",0.0193554553466077,0.15997488062017,0.314568939200866,-0.372021562146521,0.461406440830343,FALSE,FALSE,500
"beta_3",0.0123617467487849,0.175229332861329,0.315104292271698,-0.38464465888408,0.444670151911067,FALSE,FALSE,500
"beta_4",0.0201693093674289,0.176176325551575,0.313321630759332,-0.378469293509077,0.444374806788669,FALSE,FALSE,500
"beta_5",0.0258760410629752,0.17918725045804,0.303925814956584,-0.366837307261534,0.428042938892426,FALSE,FALSE,500
"beta_6",0.0183856908164704,0.172734225765688,0.300771068800462,-0.372212656405821,0.418423611441284,FALSE,FALSE,500
"beta_7",0.0189934784754984,0.177930730680115,0.303493758245247,-0.383349301762557,0.426263304655471,FALSE,FALSE,500
NA,-0.00635696188866441,0.160069628340068,0.296303092492394,-0.400725459096117,0.384898323991016,FALSE,FALSE,500
